business_id,subsector
5,Miscellaneous
24,Miscellaneous
48,Sports & Recreation
49,Miscellaneous
50,Miscellaneous
75,Health & Beauty
104,Specialty Food
150,Bars & Nightlife
152,Bars & Nightlife
156,Sports & Recreation
180,General Merchandise
236,Miscellaneous
237,Repair & Maintenance
238,Miscellaneous
253,Fast Food
274,Health & Beauty
289,Miscellaneous
296,Restaurants
324,Fast Food
344,Construction & Contractors
345,Arts & Entertainment
410,Miscellaneous
419,Miscellaneous
434,Miscellaneous
467,Miscellaneous
473,Miscellaneous
483,Health & Beauty
487,Automotive Retail
497,Childcare
502,Restaurants
504,Car Wash & Detailing
522,Bars & Nightlife
536,Restaurants
543,Restaurants
561,Car Wash & Detailing
572,Specialized Healthcare
574,Coffee & Tea
576,Pharmacy
601,Bakery & Desserts
608,Miscellaneous
611,Coffee & Tea
619,Miscellaneous
625,Restaurants
627,Miscellaneous
641,Miscellaneous
649,Coffee & Tea
681,Miscellaneous
699,Bars & Nightlife
713,Miscellaneous
718,Miscellaneous
736,Miscellaneous
737,Miscellaneous
755,Health & Beauty
799,Fast Food
825,Miscellaneous
836,Bakery & Desserts
876,Medical Offices
885,Miscellaneous
891,Miscellaneous
923,Miscellaneous
971,Bars & Nightlife
985,Restaurants
991,Legal Services
1016,Restaurants
1023,Miscellaneous
1024,Health & Beauty
1041,Restaurants
1042,Automotive Retail
1043,Miscellaneous
1049,Miscellaneous
1051,Bakery & Desserts
1063,Miscellaneous
1073,Miscellaneous
1076,Hotels & Motels
1088,Restaurants
1125,Miscellaneous
1152,Miscellaneous
1153,Bars & Nightlife
1155,Miscellaneous
1172,Miscellaneous
1176,Miscellaneous
1180,Miscellaneous
1185,Restaurants
1191,Health & Beauty
1208,Business Services
1223,Miscellaneous
1230,Restaurants
1236,Miscellaneous
1239,Fast Food
1265,Restaurants
1274,Miscellaneous
1324,Miscellaneous
1325,Miscellaneous
1327,Health & Beauty
1332,Arts & Entertainment
1342,Health & Beauty
1343,Bars & Nightlife
1357,Restaurants
1358,Telecommunications
1364,Hotels & Motels
1367,Specialty Retail
1373,Telecommunications
1403,Miscellaneous
1406,Miscellaneous
1408,Miscellaneous
1415,Miscellaneous
1428,Restaurants
1475,Health & Beauty
1491,Automotive Retail
1525,Miscellaneous
1536,Restaurants
1555,Miscellaneous
1567,Miscellaneous
1579,Restaurants
1581,Restaurants
1591,Restaurants
1600,Restaurants
1605,Restaurants
1637,Health & Beauty
1641,Repair & Maintenance
1642,Miscellaneous
1646,Miscellaneous
1652,Pet Services
1676,Telecommunications
1696,Miscellaneous
1733,Events & Venues
1745,Restaurants
1788,Hotels & Motels
1842,Restaurants
1903,Events & Venues
1906,Restaurants
1995,Construction & Contractors
2003,Health & Beauty
2008,Miscellaneous
2010,Hotels & Motels
2016,Coffee & Tea
2017,Miscellaneous
2027,Clothing & Apparel
2039,Medical Offices
2042,Miscellaneous
2054,Coffee & Tea
2059,Bars & Nightlife
2077,Miscellaneous
2080,Pet Services
2098,Miscellaneous
2104,Restaurants
2114,Restaurants
2118,Hotels & Motels
2132,Miscellaneous
2136,Health & Beauty
2174,Pet Services
2176,Miscellaneous
2194,Repair & Maintenance
2213,Miscellaneous
2238,Specialty Food
2259,Medical Offices
2263,Clothing & Apparel
2267,Miscellaneous
2283,Restaurants
2291,Repair & Maintenance
2319,Miscellaneous
2328,Coffee & Tea
2349,Miscellaneous
2369,Consulting
2374,Pet Services
2390,Miscellaneous
2396,Miscellaneous
2399,Telecommunications
2493,Miscellaneous
2495,Miscellaneous
2520,Miscellaneous
2531,Restaurants
2537,Specialty Food
2614,Miscellaneous
2621,Miscellaneous
2622,Bakery & Desserts
2624,Restaurants
2631,Restaurants
2648,Miscellaneous
2654,Health & Beauty
2686,Bakery & Desserts
2692,Health & Beauty
2697,Schools
2707,Bars & Nightlife
2708,Bars & Nightlife
2709,Miscellaneous
2710,Health & Beauty
2724,Telecommunications
2725,Construction & Contractors
2728,Miscellaneous
2733,Miscellaneous
2739,Miscellaneous
2740,Miscellaneous
2749,Financial Services
2751,Repair & Maintenance
2755,Towing & Roadside
2757,Restaurants
2758,Miscellaneous
2761,Restaurants
2782,Bars & Nightlife
2783,Restaurants
2791,Bars & Nightlife
2837,Miscellaneous
2840,Restaurants
2854,Bars & Nightlife
2855,Miscellaneous
2860,Telecommunications
2879,Miscellaneous
2909,Automotive Retail
2958,Hotels & Motels
