sector,subsector
Other Services,Miscellaneous
Entertainment & Recreation,Sports & Recreation
Personal Services,Health & Beauty
Food & Beverage,Specialty Food
Food & Beverage,Bars & Nightlife
Retail,General Merchandise
Automotive Services,Repair & Maintenance
Food & Beverage,Fast Food
Food & Beverage,Restaurants
Home Services,Construction & Contractors
Entertainment & Recreation,Arts & Entertainment
Retail,Automotive Retail
Education & Childcare,Childcare
Automotive Services,Car Wash & Detailing
Healthcare,Specialized Healthcare
Food & Beverage,Coffee & Tea
Healthcare,Pharmacy
Food & Beverage,Bakery & Desserts
Healthcare,Medical Offices
Professional Services,Legal Services
Lodging,Hotels & Motels
Other Services,Business Services
Technology,Telecommunications
Retail,Specialty Retail
Personal Services,Pet Services
Entertainment & Recreation,Events & Venues
Retail,Clothing & Apparel
Professional Services,Consulting
Education & Childcare,Schools
Professional Services,Financial Services
Automotive Services,Towing & Roadside
Healthcare,Mental Health
Home Services,Plumbing & HVAC
Home Services,Cleaning Services
Home Services,Landscaping
Personal Services,Fitness & Recreation
Retail,Home & Garden
Professional Services,Real Estate
Technology,IT Services
Home Services,Electrical
Education & Childcare,Tutoring
Other Services,Travel Services
Personal Services,Dry Cleaning & Laundry
Lodging,Alternative Lodging
Professional Services,Accounting
